Place,March,June,September,December
New York,17.2417,1.1708,12.5,68.6458
Boston,90.725,55.0291,28.7041,89.5625
Washington DC,49.1667,52.3375,29.9541,99.9416
Toronto,89.5583,39.4708,9.8708,95.5958
Houston,39.1625,36.9041,49.7791,19.1417
Tucson,0,1.1083,1.2083,3.6375
London,39.2458,1.2375,79.7041,7.1
Dublin,74.2583,67.15,85.4667,17.6417
Nice,80.8083,66.3458,34.2875,76.9167
Paris,97.5791,41.5625,83.9875,67.85
Lijiang,40.15,99.9458,81.9708,18.6458
Mumbai,4.9041,52.6375,91.65,66.0667
Singapore,1.3667,73.4041,55.3917,27.6167
Auckland,20.1708,69.775,26.6041,91.8375
Sydney,33.3041,9.1083,97.8583,16.8041
Johannesberg,80.5625,21.6625,5.1083,52.3667
RiodeJanerio,52.8291,49.3967,99.9875,17.2667
