datetime,March,June,September,December
2022-03-15T00:00:00,1.5,0.4,97,23.8
2022-03-15T01:00:00,1.5,0.4,33.2,23.8
2022-03-15T02:00:00,0.8,0.4,13.4,23.8
2022-03-15T03:00:00,0.8,0.4,13.4,23.8
2022-03-15T04:00:00,0.8,0.4,7.2,26.7
2022-03-15T05:00:00,0.8,7.2,7.2,26.7
2022-03-15T06:00:00,0.8,1.5,7.2,26.7
2022-03-15T07:00:00,0.8,1.5,7.2,23.8
2022-03-15T08:00:00,1.5,1.5,7.2,46.6
2022-03-15T09:00:00,1.5,1.5,7.2,63.4
2022-03-15T10:00:00,1.5,1.5,7.2,46.6
2022-03-15T11:00:00,1.5,1.5,7.2,91.8
2022-03-15T12:00:00,1.5,1.5,7.2,100
2022-03-15T13:00:00,1.5,0.8,13.4,100
2022-03-15T14:00:00,1.5,0.8,7.2,100
2022-03-15T15:00:00,1.5,0.8,7.2,100
2022-03-15T16:00:00,1.5,0.8,7.2,100
2022-03-15T17:00:00,1.5,0.8,7.2,100
2022-03-15T18:00:00,1.5,0.8,7.2,100
2022-03-15T19:00:00,1.2,0.4,7.2,100
2022-03-15T20:00:00,89.1,0.8,7.2,100
2022-03-15T21:00:00,99.6,0.8,7.2,100
2022-03-15T22:00:00,99.6,0.8,7.2,100
2022-03-15T23:00:00,100,0.8,0,100
