name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york city,2022-06-15T00:00:00,22.3,22.3,14.8,62.55,0,0,,0,0,1.8,7.1,264,1015.1,0.4,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2022-06-15T01:00:00,21.2,21.2,16,72.02,0,0,,0,0,5.4,0.4,352,1015.1,0.4,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2022-06-15T02:00:00,20.7,20.7,16.5,76.89,0,0,,0,0,5.4,0.4,352,1015.5,0.4,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2022-06-15T03:00:00,21.2,21.2,15.5,69.91,0,0,,0,0,12.2,0.3,360,1015.2,0.4,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2022-06-15T04:00:00,22.1,22.1,14.3,61.24,0,0,,0,0,7.6,0.1,3,1015.8,0.4,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
new york city,2022-06-15T05:00:00,20,20,13.7,67.17,0,0,,0,0,15.1,0,0,1016.1,7.2,16,0,,0,10,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
new york city,2022-06-15T06:00:00,20.6,20.6,15,70.17,0,0,,0,0,10.4,5.2,217,1016.5,1.5,16,40,0.1,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T07:00:00,21.6,21.6,15,65.84,0,0,,0,0,13.3,8.9,68,1017.3,1.5,16,54,0.2,1,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T08:00:00,22.2,22.2,14.3,60.83,0,0,,0,0,21.2,12.6,70,1017.8,1.5,16,353,1.3,4,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T09:00:00,23.3,23.3,13.3,53.18,0,0,,0,0,33.5,18.1,42,1018.6,1.5,16,573,2.1,6,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T10:00:00,25.5,25.5,14.2,49.77,0,0,,0,0,14.4,9.7,50,1019.2,1.5,16,738,2.7,7,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T11:00:00,27,27.2,14.3,45.55,0,0,,0,0,11.9,7.7,50,1019.2,1.5,16,861,3.1,9,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T12:00:00,26.7,27.1,15.5,50.32,0,0,,0,0,33.5,10.8,19,1019.9,1.5,16,949,3.4,9,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T13:00:00,26.7,27.1,14.8,48.06,0,0,,0,0,37.1,14.5,178,1020.2,0.8,16,981,3.5,10,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T14:00:00,25.7,25.7,15,51.77,0,0,,0,0,29.5,16.1,169,1020.3,0.8,16,904,3.3,9,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T15:00:00,25,25,16.1,57.53,0,0,,0,0,25.9,9.3,150,1020.9,0.8,16,800,2.9,8,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T16:00:00,25,25,15.6,56.21,0,0,,0,0,60.8,14.8,170,1020.1,0.8,16,657,2.4,7,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T17:00:00,23.8,23.8,15.6,60.09,0,0,,0,0,31.8,22.4,160,1019.9,0.8,16,478,1.7,5,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T18:00:00,22.8,22.8,15.6,63.73,0,0,,0,0,33.5,18.2,150,1019.9,0.8,16,281,1,3,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T19:00:00,21.7,21.7,15.6,68.32,0,0,,0,0,64.8,16.6,160,1020.9,0.4,16,100,0.4,1,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T20:00:00,21.2,21.2,15.6,70.57,0,0,,0,0,23,14.8,170,1021.5,0.8,16,14,0.1,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T21:00:00,20.6,20.6,15.6,72.95,0,0,,0,0,22,12.8,160,1021.7,0.8,16,8,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
new york city,2022-06-15T22:00:00,20,20,15.6,75.91,0,0,,0,0,18.4,10.8,146,1022.2,0.8,16,0,,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
