name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
johannesburg city,2022-12-15T00:00:00,17.2,17.2,14.9,86.14,0.1,100,rain,0,0,7.2,1.1,351,1020.1,100,10,0,0,0,10,"Rain, Overcast",rain,"FALA,FAJB,FAOR"
johannesburg city,2022-12-15T01:00:00,17.2,17.2,15,87.37,0.2,100,rain,0,0,7.2,0.5,353,1019.1,41.7,10,0,0,0,10,"Rain, Partially cloudy",rain,"FALA,FASI,FAJB,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T02:00:00,16.5,16.5,15.1,91.31,0,0,,0,0,8.8,3.8,195,1019.9,80,12.3,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALA,FAJB,68263099999,68263599999,68269099999,FAOR"
johannesburg city,2022-12-15T03:00:00,16.2,16.2,14.1,87.52,0,0,,0,0,2.2,0.9,334,1019.1,90.4,10,0,0,0,10,Overcast,cloudy,"FALA,FAJB,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T04:00:00,15.2,15.2,14,92.67,0,0,,0,0,5,0.8,353,1019.1,33.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALA,FAJB,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T05:00:00,15.4,15.4,14.1,92.02,0,0,,0,0,11.2,3.1,236,1019.1,68.2,11.4,2,0,0,10,Partially cloudy,partly-cloudy-night,"FALA,FAJB,68263099999,68263599999,68269099999,F8815,FAOR"
johannesburg city,2022-12-15T06:00:00,15.3,15.3,14,91.96,0,0,,0,0,6.1,2.3,190,1019.1,68.3,10,113,0.4,1,10,Partially cloudy,partly-cloudy-day,"FALA,FASI,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T07:00:00,18.3,18.3,15.9,85.96,0,0,,0,0,5,0.5,6,1020.1,63.9,10,162,0.6,2,10,Partially cloudy,partly-cloudy-day,"FALA,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T08:00:00,22.4,22.4,15.6,65.49,0,0,,0,0,7.6,6.7,6,1020.1,30,11.4,635,2.3,6,10,Partially cloudy,partly-cloudy-day,"FALA,68263099999,F0671,68263599999,68269099999,68353099999,FAOR"
johannesburg city,2022-12-15T09:00:00,24,24,14.1,53.97,0,0,,0,0,8.3,4.5,350,1019.1,34.9,10,761,2.7,8,10,Partially cloudy,partly-cloudy-day,"FALA,FASI,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T10:00:00,25,25,13.1,47.51,0,0,,0,0,9.4,3.3,319,1019.1,95.1,10,949,3.4,9,10,Overcast,cloudy,"FALA,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T11:00:00,25.9,25.9,15,51.09,0,0,,0,0,23,13.6,317,1019.6,33.9,11.4,947,3.4,9,10,Partially cloudy,partly-cloudy-day,"FALA,68263099999,F0671,68263599999,68269099999,68353099999,FAOR"
johannesburg city,2022-12-15T12:00:00,27,26.9,12.2,40,0.1,100,rain,0,0,8.6,6.2,291,1019,26.1,10,1151,4.1,10,10,"Rain, Partially cloudy",rain,"FALA,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T13:00:00,27,26.9,13,42.17,0,0,,0,0,9.7,2.8,284,1018.1,26.1,10,385,1.4,4,10,Partially cloudy,partly-cloudy-day,"FALA,FASI,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T14:00:00,27.4,27.4,14.1,43.92,0,0,,0,0,21.6,12,295,1017.6,51.4,11.4,234,0.8,2,10,Partially cloudy,partly-cloudy-day,"FALA,68263099999,F0671,68263599999,68269099999,68353099999,FAOR"
johannesburg city,2022-12-15T15:00:00,26.2,26.2,13.1,44.4,0.2,100,rain,0,0,20.9,4.9,244,1016.2,71.5,10,351,1.3,4,10,"Rain, Partially cloudy",rain,"FALA,FASI,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T16:00:00,23.4,23.4,14.9,58.88,1.1,100,rain,0,0,19.8,10.5,259,1016.9,71.5,10,217,0.8,2,10,"Rain, Partially cloudy",rain,"FALA,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T17:00:00,22,22,14.4,61.73,0,0,,0,0,25.9,8.3,252,1017,72.7,11.4,103,0.4,1,10,Partially cloudy,partly-cloudy-day,"FALA,FAJB,68263099999,F0671,68263599999,68269099999,FAOR"
johannesburg city,2022-12-15T18:00:00,22.1,22.1,15.1,64.33,0.1,100,rain,0,0,22,3.8,217,1017,27.6,10,106,0.4,1,10,"Rain, Partially cloudy",rain,"FALA,FAJB,F0671,68263599999,68267299999"
johannesburg city,2022-12-15T19:00:00,21.9,21.9,15.2,65.8,0,0,,0,0,20.2,3,176,1017,97.8,10,49,0.2,0,30,Overcast,cloudy,"FALA,FAJB,F0671,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T20:00:00,20,20,15.2,73.97,0,0,,0,0,10.6,3.3,211,1017.2,30,11.4,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALA,FAJB,68263099999,68263599999,68269099999,FAOR"
johannesburg city,2022-12-15T21:00:00,19,19,15.1,78.15,0,0,,0,0,37.1,1.4,8,1018.1,6.8,10,0,0,0,10,Clear,clear-night,"FALA,FAJB,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T22:00:00,19,19,14.1,73.61,0,0,,0,0,15.5,2.9,78,1019.1,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALA,FAJB,68263599999,68267299999,FAOR"
johannesburg city,2022-12-15T23:00:00,18,18,14.2,78.2,0,0,,0,0,7.3,3.1,45,1019.1,10,12.3,0,0,0,10,Clear,clear-night,"FALA,FAJB,68263099999,68263599999,68269099999,FAOR"
