name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
washington dc city,2022-06-15T00:00:00,23.4,23.4,18.9,75.88,0,0,,0,0,6.5,11.6,19,1015.5,79.3,15.6,0,0,0,5,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc city,2022-06-15T01:00:00,23.4,23.4,19.3,78.14,0,0,,0,0,3.2,4.8,351,1015.5,44.6,15.6,0,0,0,5,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc city,2022-06-15T02:00:00,22.4,22.4,18.8,80.21,0,0,,0,0,6.1,4.8,266,1015.6,44.6,15.9,0,0,0,5,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc city,2022-06-15T03:00:00,21.3,21.3,18.8,85.36,0,0,,0,0,5.4,4.8,247,1015.8,44.6,15.7,0,0,0,5,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc city,2022-06-15T04:00:00,21.4,21.4,18.8,85.32,0,0,,0,0,5.4,4.8,266,1016.1,44.6,15.7,0,0,0,5,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc city,2022-06-15T05:00:00,20.8,20.8,18.7,87.98,0,0,,0,0,5.8,6.7,351,1016.1,24.4,15.9,0,0,0,5,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc city,2022-06-15T06:00:00,21.3,21.3,18.8,85.32,0,0,,0,0,4.3,0,0,1016.5,24.4,15.5,11,0,0,5,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,AS365,KADW,KDAA,74594013705"
washington dc city,2022-06-15T07:00:00,22.9,22.9,19.3,80.23,0,0,,0,0,3.2,0,0,1017,24.4,15.9,16,0.1,0,5,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
washington dc city,2022-06-15T08:00:00,23.8,23.8,20,79.35,0,0,,0,0,3.6,5.2,107,1017.4,24.4,11.5,44,0.2,0,5,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
washington dc city,2022-06-15T09:00:00,25.7,25.7,19.8,70.1,0,0,,0,0,4.7,5,89,1018.1,24.4,16,65,0.2,1,3,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
