name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
lijiang city,2022-09-15T00:00:00,17.7,17.7,16.6,93.27,0,0,,0,0,5.8,7.2,208.1,1012,1.9,24.1,0,0,0,10,Clear,clear-night,remote
lijiang city,2022-09-15T01:00:00,17.6,17.6,16.4,92.68,0,0,,0,0,6.1,7.6,202.1,1012,4.4,24.1,0,0,0,10,Clear,clear-night,remote
lijiang city,2022-09-15T02:00:00,25.4,25.4,21.1,77.12,0,0,,0,0,32.4,3.6,40,1007.4,5,30,0,0,0,10,Clear,clear-night,56966099999
lijiang city,2022-09-15T03:00:00,17.5,17.5,16.4,93.26,0,0,,0,0,5,6.1,198.9,1011,5.3,24.1,0,0,0,10,Clear,clear-night,remote
lijiang city,2022-09-15T04:00:00,17.3,17.3,16.2,93.25,0,0,,0,0,5,5.4,197.5,1010,58.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
lijiang city,2022-09-15T05:00:00,24.7,24.7,21.4,81.9,0,0,,0,0,32.4,3.6,130,1006.3,100,30,0,0,0,10,Overcast,cloudy,56966099999
lijiang city,2022-09-15T06:00:00,17,17,15.9,93.24,0,0,,0,0,4.7,5,201.4,1010,99.8,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-09-15T07:00:00,16.8,16.8,15.7,93.23,0,0,,0,0,4.3,4.7,210.1,1010,95,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-09-15T08:00:00,24.4,24.4,21.7,84.92,0,0,,0,0,25.2,7.2,170,1007.2,100,30,57,0.2,1,10,Overcast,cloudy,56966099999
lijiang city,2022-09-15T09:00:00,20.6,20.6,17.4,81.9,0,0,,0,0,2.9,0.7,108.8,1010,100,24.1,231,0.8,2,10,Overcast,cloudy,remote
lijiang city,2022-09-15T10:00:00,22.7,22.7,17.9,74.33,0.1,100,rain,0,0,2.9,2.9,30.5,1010,100,24.1,439,1.6,4,10,"Rain, Overcast",rain,remote
lijiang city,2022-09-15T11:00:00,29.2,32.7,22.7,68.04,0,0,,0,0,28.8,14.4,120,1006.8,99.5,24,657,2.4,7,10,Overcast,cloudy,56966099999
lijiang city,2022-09-15T12:00:00,26.7,26.7,18.3,60.01,0.1,100,rain,0,0,6.8,2.5,31.3,1008,100,23.3,808,2.9,8,10,"Rain, Overcast",rain,remote
lijiang city,2022-09-15T13:00:00,27.3,28.3,18.4,58.3,0.1,100,rain,0,0,6.8,2.5,26,1007,100,24.1,849,3.1,8,30,"Rain, Overcast",rain,remote
lijiang city,2022-09-15T14:00:00,31.7,35.4,22.1,56.85,0,0,rain,0,0,28.8,7.2,120,1003.9,100,30,871,3.1,9,30,Overcast,cloudy,56966099999
lijiang city,2022-09-15T15:00:00,27.8,28.5,17.5,53.5,0,0,,0,0,8.3,2.2,258.5,1004,100,24.1,640,2.3,6,30,Overcast,cloudy,remote
lijiang city,2022-09-15T16:00:00,27.4,28.1,17.4,54.42,0,0,,0,0,7.2,2.5,234,1003,100,24.1,503,1.8,5,30,Overcast,cloudy,remote
lijiang city,2022-09-15T17:00:00,32.1,35.4,21.6,53.91,0,0,rain,0,0,28.8,14.4,130,1000.7,100,30,261,0.9,3,30,Overcast,cloudy,56966099999
lijiang city,2022-09-15T18:00:00,25.2,25.2,20.1,73.37,0.1,100,rain,0,0,4.3,2.9,174.8,1003,100,24.1,228,0.8,2,60,"Rain, Overcast",rain,remote
lijiang city,2022-09-15T19:00:00,22.1,22.1,18.5,80.05,0.1,100,rain,0,0,5.4,6.1,204.6,1004,100,24.1,65,0.2,1,30,"Rain, Overcast",rain,remote
lijiang city,2022-09-15T20:00:00,29.4,32,21.4,62.14,0,0,,0,0,36,18,150,1001.3,100,30,2,0,0,10,Overcast,cloudy,56966099999
lijiang city,2022-09-15T21:00:00,20.2,20.2,17.7,85.55,0,0,rain,0,0,6.5,8.3,206.5,1006,98.2,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-09-15T22:00:00,20.2,20.2,17.8,86.09,0.1,100,rain,0,0,7.6,7.9,204.3,1007,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
lijiang city,2022-09-15T23:00:00,20.5,20.5,17.9,85.04,0.2,100,rain,0,0,7.9,7.9,198.6,1007,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
