name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
houston city,2022-06-15T00:00:00,27.2,30.5,24,82.94,0,0,,0,0,33.5,22.1,141,1015.2,54.9,6.8,0,0,0,75,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T01:00:00,27.2,30.4,24,83.07,0,0,,0,0,33.1,25,151,1015.3,35.7,7.1,0,0,0,75,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T02:00:00,27.1,30.3,24,83.31,0,0,,0,0,35.3,25.2,151,1015.3,89.2,7.1,0,0,0,100,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T03:00:00,27.1,30.3,24,83,0,0,,0,0,33.8,21.8,143,1015.2,50,7.1,0,0,0,75,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T04:00:00,27.1,30.2,24,83.32,0,0,,0,0,31.7,22.8,160,1015,50,7.1,0,0,0,75,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T05:00:00,27,30.2,24,83.39,0,0,,0,0,25.9,19.6,171,1014.9,30.8,7.1,0,0,0,75,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T06:00:00,27,30.2,24,83.39,0,0,,0,0,21.6,15.9,171,1015,6.3,7.1,0,0,0,75,Clear,clear-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston city,2022-06-15T07:00:00,27,30.1,24,83.7,0,0,,0,0,18.4,7.7,188,1015.2,6.3,6.1,11,0,0,75,Clear,clear-day,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918"
houston city,2022-06-15T08:00:00,27.2,30.5,24,83,0,0,,0,0,30.2,19.5,163,1015.6,85.2,6.3,40,0.1,0,75,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918"
houston city,2022-06-15T09:00:00,28.3,32.4,24,77.69,0,0,,0,0,25.9,26.4,163,1016,85.2,6.3,76,0.3,1,75,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918"
houston city,2022-06-15T10:00:00,30.2,35.3,23.9,68.94,0,0,,0,0,26.3,20.7,174,1016.3,85.2,9,155,0.6,2,30,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston city,2022-06-15T11:00:00,31.3,35.8,22.9,61.24,0,0,,0,0,31.7,25.3,161,1016,51,10.8,232,0.8,2,60,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston city,2022-06-15T12:00:00,32.2,37.1,23,58.16,0,0,,0,0,28.6,13.7,198,1016.3,31.8,10.8,566,2,6,60,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston city,2022-06-15T13:00:00,33.3,35.8,20.2,46.37,0,0,,0,0,31.8,15.6,162,1016.3,53.9,13.4,520,1.9,5,75,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston city,2022-06-15T14:00:00,34.2,36.1,19.2,41.46,0,0,,0,0,31.7,14,195,1015.9,11.2,11.6,520,1.9,5,60,Clear,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
