name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris city,2022-09-15T00:00:00,20.4,20.4,17.1,81.53,0.007,100,rain,0,0,25,10.4,318,1007.3,94,19,,,,,"Rain, Overcast",rain,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T01:00:00,19.4,19.4,16.4,82.6,0.068,100,rain,0,0,28.1,10.8,328,1007.8,96.6,23.7,,,,,"Rain, Overcast",rain,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T02:00:00,19.1,19.1,16.1,82.94,0,0,,0,0,25.6,11.2,345,1008,99,26.2,,,,,Overcast,cloudy,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T03:00:00,18.6,18.6,15.8,84.1,0,0,,0,0,25.2,11.5,360,1008.3,97.2,24.6,,,,,Overcast,cloudy,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T04:00:00,17.8,17.8,15.6,86.64,0,0,,0,0,23.7,13,353,1008.6,100,20.1,,,,,Overcast,cloudy,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T05:00:00,17.2,17.2,15,87.3,0,0,,0,0,28.7,12.3,354,1008.7,100,9,,,,,Overcast,cloudy,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T06:00:00,16.4,16.4,13.6,84.04,0,0,,0,0,22.8,11.3,346,1008.9,93.2,20,,,,,Overcast,cloudy,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T07:00:00,15.5,15.5,12.8,84.01,0,0,,0,0,21.7,12.6,352,1009.3,74,16.6,,,,,Partially cloudy,partly-cloudy-night,"71,490,999,990,715,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
paris city,2022-09-15T08:00:00,14.8,14.8,12.6,86.64,0,0,,0,0,20.6,9.7,352,1009.9,67.5,15.6,5,0,0,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T09:00:00,15.2,15.2,12.8,85.78,0,0,,0,0,21.7,8.5,2,1010.6,24.2,11.8,21,0.1,0,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T10:00:00,16.4,16.4,12.7,78.85,0,0,,0,0,22,7.9,12,1011.1,24.2,13.8,27,0.1,0,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T11:00:00,18.9,18.9,11.9,63.7,0,0,,0,0,17.4,8.1,6,1011.6,86.4,22.4,86,0.3,1,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T12:00:00,19.5,19.5,11.9,61.55,0,0,,0,0,19.3,6.6,352,1011.7,94.1,22.8,44,0.2,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T13:00:00,20,20,11.6,58.46,0,0,,0,0,21.7,9.3,327,1011.8,91.8,24.3,100,0.4,1,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T14:00:00,21.3,21.3,11.7,54.3,0,0,,0,0,25.8,5.8,337,1011.4,84.3,22.5,88,0.3,1,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T15:00:00,21.7,21.7,12.3,55.1,0,0,,0,0,19.9,9.3,265,1011.4,86.3,25.2,77,0.3,1,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T16:00:00,21.8,21.8,12.3,54.84,0,0,,0,0,30.2,12.4,305,1011.1,88.8,24.2,85,0.3,1,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T17:00:00,21.9,21.9,11.3,50.96,0,0,,0,0,34.5,17,323,1010.9,82.9,22.8,480,1.7,5,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T18:00:00,21.7,21.7,10,47.32,0,0,,0,0,36.9,15.2,295,1011.1,67,25,296,1.1,3,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris city,2022-09-15T19:00:00,20.9,20.9,12.1,57.33,0,0,,0,0,35.3,17.6,328,1011.4,78.7,25,192,0.7,2,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
