name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
nice city,2022-09-15T00:00:00,22.7,22.7,17.1,70.46,0,0,,0,0,34,21.3,323,1010.5,84.1,28.4,,,,,Partially cloudy,partly-cloudy-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T01:00:00,22.7,22.7,17.1,71.05,0,0,,0,0,28.6,21.3,320,1010.4,95.4,28.4,,,,,Overcast,cloudy,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T02:00:00,22.6,22.6,17.1,71.25,0,0,,0,0,30.6,19.5,322,1010.2,89.8,28.4,,,,,Partially cloudy,partly-cloudy-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T03:00:00,22.1,22.1,17.2,73.6,0,0,,0,0,32.4,22,332,1010.1,89.5,27.3,,,,,Partially cloudy,partly-cloudy-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T04:00:00,22.1,22.1,17,73,0.424,100,rain,0,0,26.8,15.2,326,1009.4,94.9,28.3,,,,,"Rain, Overcast",rain,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T05:00:00,21.8,21.8,16.5,72.05,0,0,,0,0,30.4,18.7,322,1009.2,89.2,27.3,,,,,Partially cloudy,partly-cloudy-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T06:00:00,21.6,21.6,16.2,71.21,0,0,,0,0,36.1,21.2,330,1008.4,71.8,28.2,,,,,Partially cloudy,partly-cloudy-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T07:00:00,21.1,21.1,15.9,71.95,0,0,,0,0,30.7,19.6,321,1007.9,44,27.8,,,,,Partially cloudy,partly-cloudy-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T08:00:00,21.1,21.1,15.3,69.32,0,0,,0,0,30.7,21.9,326,1007.4,10.2,33.6,,,,,Clear,clear-day,"07684099999,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T09:00:00,22.9,22.9,15.3,62.08,0,0,,0,0,32.3,19.6,325,1008,10.2,33.8,41,0.1,0,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T10:00:00,25,25,15.5,55.4,0,0,,0,0,28.8,14.9,311,1008.1,10,33.7,427,1.5,4,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T11:00:00,25.9,25.9,18.4,63.23,0,0,,0,0,22.1,12.8,217,1008.3,10,34,554,2,6,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T12:00:00,26.9,28.5,20.2,66.61,0,0,,0,0,18.7,5.8,167,1008.1,10.2,34,664,2.4,7,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T13:00:00,27,28.9,21.1,70.15,0,0,,0,0,31.7,20.4,201,1007,16,33.6,718,2.6,7,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T14:00:00,27.5,29.8,21.7,70.73,0,0,,0,0,39,22.2,201,1006.8,16.3,33.5,720,2.6,7,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN"
nice city,2022-09-15T15:00:00,28.4,29.8,19.4,58.18,0,0,,0,0,48.2,36.6,203,1005.4,16.1,33.7,656,2.4,7,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T16:00:00,31.9,31,13.3,32.35,0,0,,0,0,57.1,40.4,242,1005.1,16,33.1,542,2,5,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T17:00:00,31.9,31,13.6,32.95,0,0,,0,0,58.3,35.3,251,1004.4,16,33.1,389,1.4,4,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T18:00:00,31.7,30.9,13.7,33.51,0,0,,0,0,69.3,36.2,241,1004.2,10.2,33.6,107,0.4,1,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T19:00:00,30.2,29.6,13.9,37.01,0,0,,0,0,52.8,30.8,247,1004.3,10.2,33.1,13,0,0,,Clear,clear-day,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T20:00:00,28.9,28.6,14.4,41.14,0,0,,0,0,42,26.9,257,1004.4,10.2,34,7,0,0,,Clear,clear-night,"07684099999,E5975,LFMD,07690099999,16153099999,LFMN,07675099999"
nice city,2022-09-15T21:00:00,27.9,27.8,14.3,43.46,0,0,,0,0,42.4,28.2,261,1004.4,2.6,34.1,,,,,Clear,clear-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T22:00:00,26.8,27.2,15.1,48.5,0,0,,0,0,31.7,9.8,271,1005,0,34.1,,,,,Clear,clear-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
nice city,2022-09-15T23:00:00,26.2,26.2,12.7,43.18,0,0,,0,0,21.3,15.1,261,1005.1,0,34.1,,,,,Clear,clear-night,"07684099999,LFMD,07690099999,LFMN,07675099999"
