name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
dublin city,2022-09-15T00:00:00,12.3,12.3,10.8,90.33,0,0,,0,0,23.8,9.9,310,1014.7,89,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T01:00:00,12,12,10.3,89.23,0,0,,0,0,24.5,12.6,287,1015.1,88.8,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T02:00:00,11.8,11.8,10.4,90.61,0,0,,0,0,25.6,12.9,284,1015.1,89,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T03:00:00,11.8,11.8,10.1,89.19,0,0,,0,0,25.6,13.5,286,1015.1,90.4,19.2,,,,,Overcast,cloudy,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T04:00:00,11.8,11.8,10.4,91.17,0,0,,0,0,25.2,16.8,277,1015.2,89,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T05:00:00,10,7.9,9,93.84,0,0,,0,0,23.8,15.5,277,1015.3,67.3,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T06:00:00,9,6.5,8.6,97.36,0,0,,0,0,24.8,16.2,281,1015.5,37.1,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T07:00:00,10,7.7,9.2,94.81,0,0,,0,0,25.2,16,277,1015.8,89.1,21.8,7,0,0,,Partially cloudy,partly-cloudy-day,"03971099999,F6683,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T08:00:00,10.9,10.9,9.9,92.98,0,0,,0,0,25.9,16,284,1016.3,87.8,21.8,42,0.2,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T09:00:00,12,12,9.9,86.89,0,0,,0,0,29.2,16.8,297,1016.7,89,21.8,88,0.3,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T10:00:00,13.1,13.1,9.1,77.02,0,0,,0,0,32.8,17.1,307,1017.3,89,23.7,209,0.8,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T11:00:00,14,14,8.1,67.75,0,0,,0,0,40,19.7,321,1017.3,89,25.7,281,1,3,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T12:00:00,14.5,14.5,7.9,64.66,0,0,,0,0,39.6,18.5,331,1017.4,89,25.7,171,0.6,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T13:00:00,14.5,14.5,8.1,65.33,0,0,,0,0,39.2,17.1,325,1017.5,89,25.7,236,0.8,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T14:00:00,15,15,7.4,60.39,0,0,,0,0,39.2,19.9,317,1018,89,33.4,160,0.6,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T15:00:00,16.5,16.5,7.2,54.24,0,0,,0,0,39.2,18.1,326,1017.3,87.7,33.4,687,2.5,7,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T16:00:00,16.7,16.7,8.1,56.94,0,0,,0,0,38.5,22,297,1017.4,89,33.4,480,1.7,5,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T17:00:00,16.2,16.2,7.4,55.98,0,0,,0,0,35.6,23.3,304,1017.7,79.1,37.3,165,0.6,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T18:00:00,15.1,15.1,8.2,63.37,0,0,,0,0,34.9,21.1,297,1018.1,89,37.3,121,0.4,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T19:00:00,14.3,14.3,8.1,66.32,0,0,,0,0,32,14,318,1018.3,89,36.7,35,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T20:00:00,12.6,12.6,8.9,78.01,0,0,,0,0,27.4,11.2,314,1018.4,88.9,28.2,5,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F6683,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T21:00:00,12.3,12.3,9,79.96,0,0,,0,0,22.7,12.3,303,1019.2,89.1,19.9,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T22:00:00,12.1,12.1,9.4,83.7,0,0,,0,0,23.4,12.9,314,1019.4,89,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
dublin city,2022-09-15T23:00:00,11.2,11.2,9.1,86.78,0,0,,0,0,23.4,12.6,307,1020.1,88.9,19.2,,,,,Partially cloudy,partly-cloudy-night,"03971099999,EIDW,03969099999,03967099999,EIME"
