name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Boston city,2022-12-15T00:00:00,0.6,-4.4,-5.1,65.74,0,0,,0,0,37.1,20,320,1022.8,26.5,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T01:00:00,0.6,-3.9,-5.1,65.83,0,0,,0,0,37.1,16.2,340,1022.9,48.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T02:00:00,0.6,-3.2,-4.4,69.19,0,0,,0,0,37.1,12.6,350,1023.8,49.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T03:00:00,1.1,-3.3,-2.9,74.98,0,0,,0,0,35.3,16.3,341,1024.3,87.6,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T04:00:00,1.1,-3.3,-2.2,78.51,0,0,,0,0,35.3,16.2,341,1024.4,49.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T05:00:00,1.1,-3.2,-1.7,81.42,0,0,,0,0,35.3,16.3,340,1024.9,88.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T06:00:00,1.7,-1.9,-1.7,78.19,0,0,,0,0,33.5,12.9,360,1024.6,99.7,16,0,0,0,10,Overcast,cloudy,"KOWD,72509854704,KBOS,72509014739,72505914702"
Boston city,2022-12-15T07:00:00,2.2,-2.4,-0.7,80.98,0,0,,0,0,33.5,20.1,9,1024.2,99.8,16,5,0,0,10,Overcast,cloudy,"E1152,KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T08:00:00,3.8,0.7,-0.7,72.51,0,0,,0,0,35.3,12.8,339,1025.4,100,16,10,0,0,10,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T09:00:00,3.8,1.4,-0.1,75.73,0,0,,0,0,35.3,9.3,350,1025.5,100,16,29,0.1,0,10,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T10:00:00,5.6,1.4,1.1,72.75,0,0,,0,0,35.3,23.5,37,1025.6,100,16,40,0.1,0,10,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T11:00:00,6.1,2.7,0.6,67.96,0,0,,0,0,37.1,17.8,39,1025.7,100,16,41,0.1,0,10,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T12:00:00,5.6,1.2,2.2,78.52,0.006,100,rain,0,0,35.3,27.2,30,1024.8,100,8.3,121,0.4,1,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T13:00:00,5,0.5,2.2,82.26,0.495,100,rain,0,0,35.3,25.7,40,1024.2,100,15.9,103,0.4,1,10,"Rain, Overcast",rain,"KOWD,72509854704,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T14:00:00,5,1.3,2.2,82.27,0.003,100,rain,0,0,35.3,18.2,40,1023.8,100,14,54,0.2,1,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T15:00:00,5.6,1.8,2.2,78.7,0.006,100,rain,0,0,38.9,20.2,41,1023.6,100,15.8,34,0.1,0,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T16:00:00,5.6,1.6,2.8,82.22,0,0,,0,0,37.1,22,59,1023.9,99.8,10,13,0,0,10,Overcast,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston city,2022-12-15T17:00:00,5.6,1,2.8,82.18,0,0,,0,0,40.7,29,69,1023.2,99.3,16,2,0,0,10,Overcast,cloudy,"KOWD,BLUM3,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T18:00:00,6.1,1.4,2.8,79.5,0,0,,0,0,44.6,31.1,70,1023.4,100,15.9,0,0,0,10,Overcast,cloudy,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T19:00:00,6.1,1.6,2.8,79.55,0.008,100,rain,0,0,44.6,29.1,60,1022.2,99.9,15.9,0,0,0,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T20:00:00,6.1,1.6,3.8,85.22,0.006,100,rain,0,0,46.4,28.9,70,1022.5,100,13.1,0,0,0,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T21:00:00,6.1,1.1,4.3,88.09,0.003,100,rain,0,0,50,36.4,80,1020.6,100,12.9,0,0,0,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston city,2022-12-15T22:00:00,6.2,1.3,4.3,88.1,0.003,100,rain,0,0,57.2,33,80,1019.8,100,12.9,0,0,0,10,"Rain, Overcast",rain,"KOWD,72509854704,KBOS,72509014739,72505914702"
Boston city,2022-12-15T23:00:00,6.2,1,4.3,88.19,0.024,100,rain,0,0,50.9,37.8,90,1021.4,100,4.1,0,0,0,10,"Rain, Overcast",rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
