name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
toronto city,2022-12-15T00:00:00,0.7,-6.4,-3,75.95,0,0,,0,0,50,39.9,80,1022.1,84,14.3,0,,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T01:00:00,0.1,-7.6,-3,79.93,0,0,,0,0,44.6,43.7,70,1020.4,100,16.2,0,,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T02:00:00,0.3,-7,-2.3,83.04,0,0,,0,0,48.2,39.9,89,1019.2,100,14.3,0,,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T03:00:00,1,-5.9,-3.6,71.17,0,0,,0,0,46.3,38.3,90,1019.2,30,14.3,0,,0,10,Partially cloudy,partly-cloudy-night,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T04:00:00,0.7,-7.1,-3.3,74.53,0,0,,0,0,63,49.4,81,1017.5,90,16.2,0,,0,10,Partially cloudy,wind,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T05:00:00,1.6,-6,-2.6,73.44,0,0,,0,0,46.1,51.7,80,1016.5,100,14.3,0,,0,10,Overcast,wind,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T06:00:00,1.7,-5.5,-2.6,72.81,0,0,,0,0,46.1,46,81,1016,100,14.3,0,,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T07:00:00,1.8,-5.5,-2.6,72.17,0,0,,0,2.97,72.4,47.6,81,1015,90.3,16.2,0,,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
toronto city,2022-12-15T08:00:00,2,-5,-1.4,78.18,0,0,,0,0,43.4,44.3,81,1014.2,100,14.3,5,0,0,10,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,AV116,CXTO,71265099999"
toronto city,2022-12-15T09:00:00,2.2,-4.9,-1.6,76.37,0.001,100,rain,0,0,42.5,45.7,81,1014,100,13.9,11,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T10:00:00,1.9,-4.9,-1.5,78.39,0.4,100,"rain,snow",0,0,66.6,40.1,81,1014.2,100,15.8,11,0,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T11:00:00,1.6,-5.5,-0.6,85.09,1.651,100,"rain,snow",0,0,37.1,44,80,1013.2,100,10.8,14,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T12:00:00,1.7,-4.8,-0.2,86.88,2.934,100,"rain,snow",0,0,38.9,36.6,80,1012.7,100,4.9,16,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T13:00:00,1.7,-5.1,0.2,90.03,2.646,100,"rain,snow",0,1,57.2,40.1,71,1011.9,100,7.8,14,0.1,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T14:00:00,1.6,-5.1,0.3,90.89,2.289,100,"rain,snow",0,0,63,38.3,81,1011.3,100,5.9,9,0,0,10,"Snow, Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T15:00:00,2.4,-3.5,1.1,91.33,2.002,100,rain,0,0,64.8,31.3,80,1011,100,7.8,7,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T16:00:00,2.4,-3.9,1,90.52,2.953,100,rain,0,0,68.4,36.6,81,1010.9,100,5.1,7,0,0,10,"Rain, Overcast",rain,"71624099999,71432099999,71508099999,CWWZ,F0888,CXTO,71265099999"
toronto city,2022-12-15T17:00:00,1.8,-4.5,0.2,89.17,3.278,100,"rain,snow",0,0,53.6,35,90,1011.4,100,14,2,0,0,10,"Snow, Rain, Overcast",rain,"CXVN,CYTZ,CXHM,CWWZ,E5954,CXTO"
toronto city,2022-12-15T18:00:00,1,-5.3,-0.1,92.63,2.988,100,"rain,snow",0,0,48.2,31.5,80,1011.7,100,8,5,0,0,10,"Snow, Rain, Overcast",rain,"E6457,CXVN,CYTZ,CXHM,CWWZ,CXTO"
toronto city,2022-12-15T19:00:00,1.3,-4.7,0.3,93.05,2.782,100,"rain,snow",3,0,46.4,29.4,80,1011.6,100,10,0,,0,10,"Snow, Rain, Overcast",snow,"CXVN,CYTZ,CXHM,CWWZ,CXTO"
