name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
mumbai city,2022-09-15T00:00:00,28,33.6,26,88.92,0,0,rain,,,33.5,14.8,220,1007,89.2,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T01:00:00,28,33.6,26,88.92,0,0,rain,0,,42.1,20.5,220,1006,89.2,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T02:00:00,27.8,32.3,25,84.97,0,0,rain,0,,43.9,21.5,286,1005.8,83.3,2.4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T03:00:00,27,31.2,26,94.27,0,0,rain,0,,31.7,13,210,1005,89.2,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T04:00:00,27,31.2,26,94.27,0,0,rain,0,,43.6,22.3,230,1005,89.2,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T05:00:00,26.7,26.7,25.2,91.72,0,0,rain,0,,35.3,13.4,230,1005.8,89.2,2.4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T06:00:00,27,31.2,26,94.27,0,0,rain,,,35.3,16.6,220,1006,89.2,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T07:00:00,27.4,31.6,25.4,88.87,0,0,rain,0,,31.7,12.4,223,1007,92.6,2.7,0,0,0,10,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T08:00:00,27.2,31.3,25.3,89.09,10,100,rain,0,,31.7,11.1,248,1008,98.7,2.1,39,0.1,0,10,"Rain, Overcast",rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai city,2022-09-15T09:00:00,27.7,32.6,25.7,88.89,0,0,rain,0,,38.9,18.7,206,1008,92.6,2.3,174,0.6,2,10,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T10:00:00,27.7,32.3,25.4,87.25,0,0,,0,,38.9,20.5,220,1008,92.6,3,347,1.2,3,30,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T11:00:00,28.9,34.8,25.4,81.33,0.3,100,rain,0,,33.5,14.2,227,1008.2,88.6,2.9,655,2.4,7,10,"Rain, Partially cloudy",rain,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T12:00:00,29,35.2,25.7,82.35,0,0,,,,42.5,20.6,220,1007.7,92.6,3.3,785,2.8,8,10,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T13:00:00,27.7,33.1,26.4,92.57,0,0,,0,,33.5,14.2,227,1007,92.6,3,878,3.2,9,10,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T14:00:00,28.1,33.7,26,88.47,0,0,rain,0,,36,14.9,230,1006.1,92.8,2.6,796,2.9,8,10,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T15:00:00,28.7,34.6,25.7,83.86,0,0,rain,0,,46.1,20.5,237,1006,88.8,3,621,2.2,6,10,Partially cloudy,partly-cloudy-day,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T16:00:00,27.7,32.6,25.7,88.89,0,0,rain,0,,46.4,24.8,230,1006,88.8,3,582,2.1,6,10,Partially cloudy,partly-cloudy-day,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T17:00:00,27.1,31.1,25.7,92.27,0,0,rain,0,,44.3,6.1,203,1006.2,99.4,2.2,422,1.5,4,10,Overcast,cloudy,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai city,2022-09-15T18:00:00,26.7,30.2,25.7,94.26,0,0,rain,,,43.9,17.6,237,1006,92.6,3,222,0.8,2,10,Overcast,cloudy,"VABB,VAJJ,43003099999"
mumbai city,2022-09-15T19:00:00,27,31.2,26,94.27,0,0,rain,0,,44.3,20.5,250,1007,89.2,3,47,0.2,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T20:00:00,26,26,25.2,95.26,8.7,100,rain,0,,45,8.5,230,1007.1,95,2.4,0,0,0,10,"Rain, Overcast",rain,"VABB,43003099999"
mumbai city,2022-09-15T21:00:00,26,26,25,94.23,0,0,rain,0,,43.2,13,240,1007,100,3,0,0,0,10,Overcast,cloudy,"VABB,43003099999"
mumbai city,2022-09-15T22:00:00,27,31.9,27,100,0,0,,0,,40.7,16.6,240,1008,89.2,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VABB,43003099999"
mumbai city,2022-09-15T23:00:00,26.8,30.3,25.5,92.65,3,100,rain,0,,41,5.4,250,1007.2,95,2.4,0,0,0,10,"Rain, Overcast",rain,"VABB,43003099999"
