name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
sydney city,2022-03-15T00:00:00,20.4,20.4,16.1,76.17,0,0,rain,0,0,18.7,1.1,116,1022.3,10,25,0,0,0,10,Clear,clear-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T01:00:00,20.2,20.2,16.3,78.01,0,0,rain,0,0,19.8,1,113,1022.2,30.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T02:00:00,19.7,19.7,15.6,77.22,0,0,,0,0,19.1,0.8,113,1021.6,31.7,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T03:00:00,19.7,19.7,15.5,76.69,0.004,100,rain,0,0,15.5,1,112,1021.5,10,25,0,0,0,10,Rain,rain,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T04:00:00,17.9,17.9,16.5,91.44,0,0,rain,0,0,15.1,0.8,100,1021.2,44.1,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T05:00:00,17.4,17.4,16.5,94.52,0,0,rain,0,0,16.9,1,105,1020.8,8.4,10,0,0,0,10,Clear,clear-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T06:00:00,16.9,16.9,16.2,95.23,0,0,,0,0,14.4,0.8,116,1021.2,10,13.1,0,0,0,10,Clear,clear-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T07:00:00,16.5,16.5,15.8,95.8,0,0,,0,0,14.4,1.1,100,1022.1,69,10,8,0,0,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T08:00:00,16.8,16.8,16,94.95,0,0,,0,0,22.7,1,143,1022.5,6.6,10,62,0.2,1,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T09:00:00,18.5,18.5,17.4,92.83,0,0,,0,0,19.4,1.2,128,1022.9,50,10,129,0.5,1,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T10:00:00,22,22,14.1,60.55,0,0,,0,0,18.7,2.6,129,1023.3,2.8,10,313,1.1,3,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T11:00:00,23.8,23.8,15,57.89,0,0,rain,0,0,17.6,2.1,137,1023.4,0.4,10,484,1.7,5,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T12:00:00,23.4,23.4,15.1,59.49,0,0,rain,0,0,15.8,2.4,134,1022.7,35.4,25,514,1.9,5,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T13:00:00,24.7,24.7,14.9,54.3,0,0,,0,0,14.8,2.8,135,1022.1,45,10,839,3,8,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T14:00:00,25.7,25.7,16.1,55.47,0,0,,0,0,15.1,2.8,127,1021.7,23.4,10,832,3,8,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T15:00:00,25.1,25.1,15.8,56.23,0.018,100,rain,0,0,16.2,3.3,125,1021,50,30,724,2.6,7,10,"Rain, Partially cloudy",rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T16:00:00,23.9,23.9,15.7,60.21,0,0,,0,0,17.6,3.5,129,1020.7,10.6,10,455,1.6,5,10,Clear,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T17:00:00,23.5,23.5,15.9,62.45,0,0,rain,0,0,17.6,3.5,120,1020.7,35.5,10,123,0.4,1,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T18:00:00,22.4,22.4,15.9,66.96,0,0,rain,0,0,18.7,3,132,1020.7,60,30,57,0.2,1,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T19:00:00,21.7,21.7,15.9,69.73,0,0,rain,0,0,19.4,2.4,132,1020.9,69.4,10,18,0.1,0,10,Partially cloudy,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
sydney city,2022-03-15T20:00:00,20.6,20.6,17.1,80.34,0,0,rain,0,0,17.6,2.7,119,1021.3,77.4,10,133,0.5,0,10,Partially cloudy,partly-cloudy-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T21:00:00,20.4,20.4,16.7,79.52,0,0,rain,0,0,15.8,2.2,112,1021.7,83,25,100,0.4,0,10,Partially cloudy,partly-cloudy-night,"9,476,709,999,994,760,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T22:00:00,19.6,19.6,17.2,85.98,0,0,,0,0,16.6,1.8,118,1022.1,5.3,10,80,0.3,0,10,Clear,clear-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
sydney city,2022-03-15T23:00:00,19.1,19.1,18.1,93.86,0,0,,0,0,16.6,1.7,160,1021.8,30.4,10,66,0.2,0,10,Partially cloudy,partly-cloudy-night,"947,670,999,999,476,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
