name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
rio de janeiro city,2022-12-15T00:00:00,22.1,22.1,17.2,73.85,0,0,,0,,13.3,5.5,80,1013.5,0.5,15.8,0,0,0,10,Clear,clear-night,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T01:00:00,22,22,18,78.06,0,0,rain,0,,9.7,3.7,31,1013,1.9,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T02:00:00,22,22,17,73.33,0,0,,0,,8.3,9.3,60,1013,1.9,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T03:00:00,21.7,21.7,17.8,78.35,0,0,,,,7.6,7.5,90,1012.5,0,15.8,0,0,0,10,Clear,clear-night,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T04:00:00,21,21,17,78.01,0,0,,0,,8.6,5.4,50,1013,0,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T05:00:00,21,21,17,78.01,0,0,,0,,9.7,5.4,40,1013,0,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T06:00:00,22,22,17.2,73.97,0,0,,0,,9.7,5.4,79,1013.5,0,15.8,50,0.2,1,10,Clear,clear-day,"SBRJ,SBGL,83746099999,83755099999"
rio de janeiro city,2022-12-15T07:00:00,22,22,18,78.08,0,0,,0,,9.7,9.3,10,1014,27.4,10,366,1.3,4,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T08:00:00,22,22,19,82.86,0,0,,0,,12.2,11.1,352,1014,27.4,10,684,2.5,7,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T09:00:00,22.8,22.8,18,74.26,0,0,,,,14,9.4,352,1014.5,16.7,15.8,304,1.1,3,10,Clear,clear-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T10:00:00,25,25,19,69.17,0,0,,0,,13.7,5.5,341,1014,49.7,10,186,0.7,2,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T11:00:00,26,26,19,65.1,0,0,,0,,13,14.7,159,1014,49.9,10,1048,3.8,10,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T12:00:00,25.1,25.1,19.1,69.44,0,0,,0,,13.7,23.9,140,1013.3,44.4,15.8,229,0.8,2,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T13:00:00,26,26,20,69.27,0,0,,0,,13.7,24,159,1013,27.9,10,1011,3.6,10,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T14:00:00,26,26,19,65.19,0,0,,0,,14.4,25.8,160,1012,27.9,10,923,3.3,9,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T15:00:00,25.8,25.8,18.9,65.61,0,0,,,,15.5,24.1,160,1011.2,16.7,15.8,336,1.2,3,10,Clear,clear-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T16:00:00,26,26,18,61.29,0,0,,0,,18.4,22.3,150,1010,27.9,10,183,0.7,2,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T17:00:00,25,25,19,69.15,0,0,,0,,21.2,20.6,140,1010,27.9,10,234,0.8,2,10,Partially cloudy,partly-cloudy-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T18:00:00,24.8,24.8,19.8,73.67,0,0,,0,,23,20.5,140,1010.2,16.3,15.8,28,0.1,0,10,Clear,clear-day,"SBRJ,SBGL,SBAF,83748099999,F0496,83746099999,83755099999"
rio de janeiro city,2022-12-15T19:00:00,24,24,19.9,78.29,0,0,,0,,25.6,16.5,121,1010,25,10,13,0,0,10,Partially cloudy,partly-cloudy-night,"SBRJ,SBGL,SBAF"
rio de janeiro city,2022-12-15T20:00:00,24.9,24.9,17.9,65.17,0,0,,0,,24.5,13,91,1010,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"SBRJ,SBGL,SBAF"
rio de janeiro city,2022-12-15T21:00:00,23.9,23.9,17,64.97,0,0,,,,22.3,9.5,80,1011,0,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL"
rio de janeiro city,2022-12-15T22:00:00,23.9,23.9,17,64.97,0,0,,0,,20.9,14.9,100,1011,0,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL"
rio de janeiro city,2022-12-15T23:00:00,22.9,22.9,17.9,73.45,0,0,,0,,16.6,7.7,80,1011,0,10,0,0,0,10,Clear,clear-night,"SBRJ,SBGL"
