name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
singapore city,2022-03-15T00:00:00,26.6,26.6,-2.5,14.62,0,0,,0,0,8.6,8.6,285.8,1010,5,24.1,5,0,0,10,Clear,clear-night,remote
singapore city,2022-03-15T01:00:00,25.6,25.6,-1.8,16.34,0,0,,0,0,9,8.6,309,1010,5,24.1,0,0,0,10,Clear,clear-night,remote
singapore city,2022-03-15T02:00:00,22.7,22.7,14.6,60.23,0,0,,0,0,7.2,0,297.5,1008.6,5.7,4,0,0,0,10,Clear,clear-night,42874099999
singapore city,2022-03-15T03:00:00,24,24,0,20.5,0,0,,0,0,5,4.7,305.8,1009,11.1,24.1,0,0,0,10,Clear,clear-night,remote
singapore city,2022-03-15T04:00:00,23.5,23.5,0.1,21.28,0,0,,0,0,4,3.6,158.5,1008,6,24.1,0,0,0,10,Clear,clear-night,remote
singapore city,2022-03-15T05:00:00,21.3,21.3,13.7,62.01,0,0,,0,0,7.2,3.9,196,1008.7,0,3.9,0,0,0,10,Clear,clear-night,"4,287,509,999,942,870,000,000"
singapore city,2022-03-15T06:00:00,21.1,21.1,14.1,64.3,0,0,,0,0,6.8,11.2,220,1010,0,4,0,0,0,10,Clear,clear-night,42875099999
singapore city,2022-03-15T07:00:00,23.1,23.1,14.1,56.92,0,0,,0,0,6.5,7.6,220,1011,0,4,2,0,0,10,Clear,clear-day,42875099999
singapore city,2022-03-15T08:00:00,25.3,25.3,14.4,50.93,0,0,,0,0,9,9.3,191,1010.3,0,4,67,0.2,1,10,Clear,clear-day,"4,294,809,999,942,870,000,000,000,000,000,000,000,000,000,000,000,000,000"
singapore city,2022-03-15T09:00:00,30.1,29.2,13.1,35.3,0,0,,0,0,7.2,13,250,1011,0,5,171,0.6,2,10,Clear,clear-day,42875099999
singapore city,2022-03-15T10:00:00,33.1,32.7,15.1,33.89,0,0,,0,0,7.9,11.2,300,1011,0,5,282,1,3,10,Clear,clear-day,42875099999
singapore city,2022-03-15T11:00:00,35.1,33.6,11.3,23.75,0,0,,0,0,8.3,8.6,260,1008.4,0,4.3,387,1.4,4,10,Clear,clear-day,"4,287,509,999,942,870,000,000"
singapore city,2022-03-15T12:00:00,36.1,35.5,14.1,26.89,0,0,,0,0,19.4,11.2,270,1009,0,6,478,1.7,5,10,Clear,clear-day,42875099999
singapore city,2022-03-15T13:00:00,37.1,36.2,13.1,23.85,0,0,,0,0,18.7,13,300,1007,0,6,989,3.6,10,10,Clear,clear-day,42875099999
singapore city,2022-03-15T14:00:00,37.9,37.4,13.7,23.81,0,0,,0,0,18,6.5,359,1004.3,0,4.3,977,3.5,10,10,Clear,clear-day,"4,287,509,999,942,870,000,000"
singapore city,2022-03-15T15:00:00,37.1,36.2,13.1,23.85,0,0,,0,0,19.4,13,270,1005,0,6,940,3.4,9,10,Clear,clear-day,42875099999
singapore city,2022-03-15T16:00:00,37.1,35.9,12.1,22.34,0,0,,0,0,20.9,11.2,350,1005,0,6,880,3.2,9,10,Clear,clear-day,42875099999
singapore city,2022-03-15T17:00:00,36.2,36.4,15.7,29.68,0,0,,0,0,16.6,5.7,358,1003.1,0,4.2,800,2.9,8,10,Clear,clear-day,"4,294,809,999,942,870,000,000,000,000,000,000,000,000,000,000,000,000,000"
singapore city,2022-03-15T18:00:00,33.1,33.1,16.1,36.13,0,0,,0,0,14,3.6,350,1006,0,6,705,2.5,7,10,Clear,clear-day,42875099999
singapore city,2022-03-15T19:00:00,31.1,30.7,15.1,37.95,0,0,,0,0,11.5,3.6,290,1007,0,6,30,0.1,0,10,Clear,clear-night,42875099999
singapore city,2022-03-15T20:00:00,30.1,30.2,16.3,43.55,0,0,,0,0,13,1.1,210,1006.2,0,4.1,15,0.1,0,10,Clear,clear-night,"4,287,509,999,942,870,000,000"
singapore city,2022-03-15T21:00:00,29.1,28.9,15.1,42.57,0,0,,0,0,11.9,7.6,270,1008,0,5,10,0,0,10,Clear,clear-night,42875099999
singapore city,2022-03-15T22:00:00,29.6,27.9,4.6,20.46,0,0,,0,0,7.6,7.2,348.4,1008,0,24.1,7,0,0,10,Clear,clear-night,remote
singapore city,2022-03-15T23:00:00,26.9,27.7,17.7,57.11,0,0,,0,0,6.1,0,29.6,1006.7,0,4,6,0,0,10,Clear,clear-night,42874099999
