name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
auckland city,2022-12-15T00:00:00,17.1,17.1,16.8,98.54,7.582,100,rain,0,0,45,8.7,110,1009.2,94.5,10,0,0,0,10,"Rain, Overcast",rain,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T01:00:00,17,17,16.8,98.8,0,0,rain,0,0,43.6,9.4,117,1008.2,40.6,13.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T02:00:00,17,17,16.2,94.97,0,0,rain,0,0,41,2.4,97,1007.3,90,13.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T03:00:00,17.4,17.4,16.2,92.36,0,0,,0,0,35.6,6.7,130,1007.1,100,13.7,0,0,0,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T04:00:00,17.5,17.5,16.9,95.72,0,0,rain,0,0,34.6,12.4,110,1006.3,94.6,13.7,0,0,0,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T05:00:00,17.1,17.1,16.9,98.38,0,0,rain,0,0,34.2,10.4,117,1006.2,89.1,13.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T06:00:00,17.5,17.5,17,96.74,3.54,100,rain,0,0,33.5,9.4,130,1006.2,100,7.5,5,0,0,10,"Rain, Overcast",rain,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T07:00:00,17.9,17.9,17.8,99.71,0.166,100,rain,0,0,38.9,11.2,117,1006.7,100,10,57,0.2,1,10,"Rain, Overcast",rain,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T08:00:00,19,19,18.1,94.63,0,0,rain,0,0,37.8,11.8,93,1007.1,94.5,12,105,0.4,1,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T09:00:00,18.9,18.9,18.8,99.27,0,0,rain,0,0,31,9.9,90,1007.3,89.1,5.6,182,0.7,2,10,Partially cloudy,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T10:00:00,20.4,20.4,19.4,94.04,0,0,rain,0,0,31.3,15.9,73,1007.2,94.6,7.2,765,2.8,8,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T11:00:00,22,22,19,83.1,0,0,rain,0,0,32,18.4,70,1007,88,10,558,2,6,10,Partially cloudy,partly-cloudy-day,"NZAA,C4778"
auckland city,2022-12-15T12:00:00,22.8,22.8,19.1,79.53,5.166,100,rain,0,0,28.4,20.5,93,1006.2,89.1,13.7,787,2.8,8,10,"Rain, Partially cloudy",rain,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T13:00:00,22.8,22.8,19.1,79.35,0,0,rain,0,0,23.4,20.5,87,1006.1,100,13.7,535,1.9,5,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T14:00:00,23.3,23.3,18.9,76.05,0,0,rain,0,0,23.8,21.1,77,1005.6,94.5,13.7,582,2.1,6,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T15:00:00,22.9,22.9,18.9,78.48,0,0,rain,0,0,24.8,23.5,77,1005.2,89.1,13.7,578,2.1,6,10,Partially cloudy,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T16:00:00,22.1,22.1,19.3,84.11,0,0,rain,0,0,25.2,19.1,67,1005.2,94.5,12.4,416,1.5,4,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T17:00:00,21.9,21.9,19.1,83.86,0,0,rain,0,0,24.5,21.7,67,1005.1,94.6,13.7,246,0.9,2,3,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T18:00:00,22,22,19.1,83.52,0.291,100,rain,0,0,23.4,20.5,63,1005.2,94.6,13.7,238,0.9,2,3,"Rain, Overcast",rain,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T19:00:00,21.8,21.8,19.9,88.77,0,0,rain,0,0,18.7,15.3,57,1005.6,94.6,10,35,0.1,0,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T20:00:00,21.5,21.5,19.1,86.19,0,0,,0,0,17.3,10,43,1006.2,100,13.7,22,0.1,0,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T21:00:00,20.9,20.9,19.1,89.1,0,0,,0,0,20.2,11.2,83,1006.1,94.5,13.7,12,0,0,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999,C4778"
auckland city,2022-12-15T22:00:00,20,20,18.9,93.4,0,0,rain,0,0,20.9,10.5,83,1007,89.1,13.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"93119099999,NZAA,93129099999,93110099999"
auckland city,2022-12-15T23:00:00,20,20,18.9,93.41,0,0,,0,0,19.4,5.4,73,1007.2,94.5,13.7,0,0,0,10,Overcast,cloudy,"93119099999,NZAA,93129099999,93110099999"
