March,June,September,December
0.8551,0.0948,0.8802,0.0477
0.8551,0.4348,0.8802,0.5151
0.8551,0.0948,0.4401,0.0867
0.8551,0.0,0.779,0.0
0.8551,0.6286,0.8802,0.0468
0.8551,0.0948,0.8802,0.0945
0.8551,0.4348,0.088,0.0
0.6182,0.0948,0.0484,0.0
0.0932,0.8695,0.3811,0.0477
0.4276,0.4348,0.088,0.0945
0.8551,0.0948,0.0484,0.0468
0.8551,0.0948,0.5228,0.1041
0.8551,0.0,0.8802,0.0945
0.8551,0.4348,0.6161,0.0
0.8551,0.4348,0.8802,0.0477
0.8551,0.4348,0.8802,0.0945
0.8551,0.0948,0.8802,0.0477
0.8551,0.0948,0.6161,0.0468
0.0932,0.0948,0.779,0.0468
0.0932,0.0948,0.779,0.0468
0.4276,0.4348,0.8802,0.0
0.8551,0.0948,0.6364,0.0477
0.8551,0.0948,0.8802,0.0945
0.0932,0.6286,0.8802,0.0477
