March,June,September,December
0.031,0.6279,0.6428,0.6608
0.031,0.8496,0.8605,0.4648
0.031,0.6287,0.629,0.4504
0.1286,0.6321,0.1028,0.1115
0.1286,0.8496,0.095,0.4504
0.031,0.8496,0.0017,0.1007
0.031,0.6321,0.6428,0.0027
0.1135,0.1087,0.6394,0.0018
0.1206,0.0994,0.6428,0.0
0.1286,0.0952,0.6428,0.0
0.1286,0.1062,0.6428,0.0
0.1286,0.1062,0.6428,0.0
0.1286,0.1113,0.6428,0.0
0.1286,0.1113,0.6428,0.0
0.1286,0.6202,0.6428,0.0
0.1117,0.4324,0.6428,0.0
0.125,0.4324,0.6428,0.0018
0.1161,0.1232,0.6428,0.0063
0.1286,0.1198,0.6428,0.0
0.0239,0.1232,0.6428,0.0009
0.0195,0.1232,0.864,0.0
0.0231,0.1232,0.864,0.0
0.0,0.6321,0.864,0.0
0.008,0.6321,0.864,0.0
