March,June,September,December
0.8575,0.2258,0.0962,0.7649
0.8127,0.1324,0.0979,0.7649
0.8056,0.1324,0.0962,0.7649
0.6948,0.1341,0.0839,0.7649
0.2823,0.1367,0.0962,0.7649
0.2603,0.1367,0.2859,0.7649
0.2832,0.2137,0.55,0.7649
0.1522,0.4975,0.0953,0.7373
0.131,0.4836,0.1067,0.7373
0.051,0.128,0.0962,0.7373
0.051,0.0952,0.0962,0.7373
0.0871,0.096,0.0962,0.7373
0.0967,0.2293,0.0962,0.7373
0.0967,0.1921,0.0962,0.7373
0.0967,0.2163,0.0962,0.7373
0.0967,0.25,0.1076,0.7373
0.0967,0.6238,0.0962,0.7373
0.0967,0.2146,0.1827,0.7373
0.0959,0.128,0.0962,0.7373
0.051,0.443,0.0962,0.7373
0.051,0.3859,0.0971,0.7373
0.0501,0.5217,0.0953,0.7373
0.0739,0.5442,0.0962,0.6679
0.0624,0.6601,0.0971,0.5192
