March,June,September,December
0.0906,0.3729,0.447,0.8802
0.0043,0.5317,0.1652,0.669
0.0811,0.0893,0.1652,0.5044
0.0121,0.4134,0.6039,0.5044
0.1407,0.4134,0.6072,0.8802
0.1899,0.5722,0.447,0.5044
0.1899,0.7748,0.6039,0.2086
0.1899,0.7748,0.8052,0.8802
0.8632,0.1224,0.8052,0.8802
0.8632,0.1224,0.7867,0.8802
0.8632,0.1224,0.1057,0.8802
0.8632,0.4052,0.1468,0.8802
0.8632,0.5639,0.1057,0.8802
0.8632,0.3812,0.3875,0.8802
0.8632,0.7343,0.1384,0.8802
0.8632,0.5317,0.4194,0.8802
0.8632,0.7343,0.4194,0.8802
0.8632,0.7343,0.0134,0.8688
0.8632,0.7343,0.7624,0.8688
0.858,0.7674,0.0906,0.669
0.8632,0.7938,0.5854,0.5044
0.1899,0.7988,0.7976,0.5044
0.1088,0.5954,0.1468,0.2086
0.1899,0.4374,0.5535,0.5044
