March,June,September,December
0.0983,0.4346,0.6007,0.0
0.0983,0.4346,0.8235,0.4807
0.0377,0.5988,0.8538,0.1649
0.0983,0.0,0.8668,0.0792
0.0983,0.0,0.8668,0.5451
0.0754,0.0061,0.8668,0.2622
0.0,0.6292,0.8668,0.2614
0.0393,0.6292,0.8668,0.2977
0.0926,0.6084,0.8668,0.5772
0.095,0.8448,0.8668,0.5368
0.2712,0.8691,0.8668,0.0404
0.1049,0.8691,0.8668,0.5451
0.095,0.8691,0.8668,0.6094
0.095,0.8691,0.8668,0.6094
0.1286,0.8691,0.6068,0.4008
0.095,0.8691,0.8391,0.235
0.4096,0.8691,0.8477,0.235
0.4899,0.8691,0.4334,0.2251
0.4891,0.8691,0.8668,0.597
0.2335,0.8691,0.8668,0.0181
0.2916,0.8691,0.8668,0.5772
0.0983,0.8587,0.8668,0.7685
0.0983,0.8665,0.8668,0.6184
0.1884,0.8691,0.8668,0.7421
