March,June,September,December
0.8205,0.0,0.7823,0.7985
0.845,0.0,0.7624,0.7669
0.807,0.0,0.7576,0.7208
0.8028,0.0102,0.7552,0.708
0.8028,0.0,0.3334,0.3467
0.8028,0.0,0.0,0.07
0.8028,0.0,0.0016,0.4834
0.8019,0.0,0.0399,0.7379
0.7622,0.0,0.0,0.6926
0.8061,0.0,0.0,0.5705
0.6946,0.0,0.0,0.4501
0.3042,0.0,0.004,0.8233
0.529,0.0,0.0,0.8053
0.0845,0.0,0.0,0.8087
0.2645,0.0,0.0,0.8378
0.3541,0.0,0.0,0.8019
0.4183,0.0,0.0,0.6866
0.0423,0.0,0.0,0.5876
0.4614,0.0,0.0,0.8267
0.2442,0.0,0.0,0.8463
0.5273,0.0,0.0,0.854
0.1496,0.0,0.0144,0.8241
0.0101,0.0,0.0,0.8122
0.0,0.0,0.0,0.8147
