March,June,September,December
0.2878,0.8635,0.5007,0.8909
0.5042,0.8635,0.3725,0.8909
0.5324,0.8635,0.2678,0.8909
0.2957,0.8635,0.3009,0.8909
0.315,0.8635,0.1814,0.8909
0.2614,0.8635,0.0262,0.8909
0.477,0.8635,0.0,0.8909
0.6565,0.8635,0.0349,0.8909
0.8351,0.8635,0.0,0.8909
0.88,0.8635,0.0349,0.8909
0.88,0.8635,0.0349,0.8909
0.88,0.8635,0.0349,0.8909
0.88,0.8635,0.2155,0.8909
0.4268,0.8635,0.164,0.8909
0.4268,0.8635,0.0602,0.8909
0.4602,0.8635,0.3062,0.8909
0.5386,0.8264,0.485,0.8909
0.4039,0.8195,0.1675,0.8909
0.7014,0.8635,0.2155,0.8526
0.616,0.6882,0.0602,0.539
0.5218,0.8635,0.164,0.5497
0.1426,0.8635,0.164,0.6459
0.4039,0.8635,0.4318,0.6459
0.5042,0.8635,0.0262,0.5942
