March,June,September,December
0.8646,0.4088,0.0896,0.4373
0.8646,0.4088,0.0896,0.4373
0.8214,0.2658,0.1385,0.4373
0.8646,0.4088,0.0896,0.4373
0.8646,0.4088,0.0896,0.4373
0.8214,0.2658,0.0896,0.488
0.8646,0.4088,0.0896,0.0945
0.8646,0.4088,0.0614,0.098
0.8274,0.5217,0.0108,0.3052
0.8646,0.4088,0.0614,0.3332
0.8646,0.4088,0.0614,0.098
0.8499,0.3761,0.0946,0.1329
0.8646,0.4088,0.0614,0.098
0.8646,0.4088,0.0614,0.098
0.83,0.4088,0.0597,0.098
0.8646,0.4088,0.0929,0.098
0.8646,0.4088,0.0929,0.098
0.8214,0.1922,0.005,0.3087
0.8646,0.4088,0.0614,0.4373
0.8646,0.4088,0.0896,0.4373
0.8214,0.3614,0.0415,0.4014
0.8646,0.4088,0.0,0.4373
0.8646,0.4088,0.0896,0.4373
0.1063,0.3614,0.0415,0.4373
