March,June,September,December
0.8726,0.8441,0.0259,0.6845
0.8726,0.8441,0.5761,0.6845
0.8788,0.8441,0.7469,0.6845
0.8788,0.8441,0.7469,0.6845
0.8788,0.8441,0.8004,0.6585
0.8788,0.7865,0.8004,0.6585
0.8788,0.8348,0.8004,0.6585
0.8788,0.8348,0.8004,0.6845
0.8726,0.8348,0.8004,0.4797
0.8726,0.8348,0.8004,0.3288
0.8726,0.8348,0.8004,0.4797
0.8726,0.8348,0.8004,0.0737
0.8726,0.8348,0.8004,0.0
0.8726,0.8407,0.7469,0.0
0.8726,0.8407,0.8004,0.0
0.8726,0.8407,0.8004,0.0
0.8726,0.8407,0.8004,0.0
0.8726,0.8407,0.8004,0.0
0.8726,0.8407,0.8004,0.0
0.8753,0.8441,0.8004,0.0
0.0966,0.8407,0.8004,0.0
0.0035,0.8407,0.8004,0.0
0.0035,0.8407,0.8004,0.0
0.0,0.8407,0.8625,0.0
