March,June,September,December
0.091,0.8408,0.1372,0.0958
0.3344,0.4255,0.0397,0.7451
0.3282,0.1702,0.088,0.7451
0.3195,0.1702,0.0906,0.7451
0.3344,0.0851,0.044,0.7451
0.3501,0.5106,0.0932,0.7131
0.3501,0.1702,0.2433,0.7052
0.3501,0.143,0.4832,0.0417
0.0875,0.3404,0.7749,0.0399
0.0875,0.3404,0.7749,0.0417
0.0875,0.1702,0.7766,0.0417
0.0875,0.1736,0.7766,0.0035
0.0875,0.0894,0.7749,0.0399
0.0875,0.0894,0.7248,0.0408
0.0875,0.0894,0.7222,0.0408
0.1742,0.0877,0.724,0.0435
0.1742,0.0034,0.7248,0.0408
0.0875,0.0877,0.7248,0.0009
0.0875,0.0936,0.7749,0.0435
0.0875,0.5957,0.7749,0.0009
0.0875,0.7659,0.7749,0.0
0.0875,0.5957,0.8405,0.0
0.0875,0.4255,0.8629,0.0
0.0875,0.4102,0.8629,0.0
