March,June,September,December
0.0299,0.8614,0.0522,0.089
0.0299,0.7753,0.0296,0.0935
0.0299,0.7753,0.0087,0.1362
0.0211,0.7753,0.0244,0.244
0.0,0.7753,0.0,0.2538
0.0,0.7753,0.0,0.1986
0.0,0.1111,0.0592,0.0303
0.0,0.236,0.2264,0.1024
0.0,0.5168,0.283,0.2288
0.0,0.5168,0.66,0.1033
0.0,0.5168,0.66,0.0303
0.0,0.603,0.1184,0.0418
0.0,0.5168,0.0514,0.0303
0.0,0.5418,0.0714,0.0801
0.0088,0.2696,0.1367,0.089
0.0114,0.2696,0.1193,0.5716
0.0378,0.2696,0.0975,0.5084
0.0721,0.0861,0.1489,0.4826
0.0572,0.603,0.2873,0.5975
0.0299,0.603,0.1855,0.4051
0.0088,0.603,0.0244,0.5948
0.0299,0.3187,0.0296,0.5084
0.0792,0.603,0.0392,0.5601
0.0651,0.1585,0.0331,0.8904
