March,June,September,December
0.639,0.1106,0.0,0.8208
0.5656,0.422,0.0,0.8092
0.5917,0.4051,0.0,0.8092
0.5917,0.2903,0.0,0.8249
0.5917,0.0928,0.0,0.8249
0.5917,0.4051,0.0,0.8249
0.3317,0.6034,0.0,0.8249
0.5876,0.6009,0.0,0.5989
0.586,0.4177,0.0,0.5989
0.4091,0.4186,0.0,0.6871
0.4083,0.4177,0.0,0.4149
0.4091,0.4194,0.0008,0.4133
0.3627,0.6068,0.0008,0.4586
0.4075,0.4194,0.0008,0.5948
0.4059,0.4186,0.0,0.5948
0.4059,0.0937,0.0,0.6871
0.4091,0.0937,0.0,0.5948
0.088,0.0937,0.0,0.5948
0.088,0.4194,0.0,0.6904
0.088,0.422,0.0,0.6187
0.088,0.8017,0.0,0.6187
0.088,0.8169,0.0,0.8249
0.088,0.6321,0.0,0.8249
0.4042,0.8439,0.0,0.8249
