March,June,September,December
0.7728,0.0,0.4066,0.778
0.7728,0.0,0.0271,0.7722
0.7671,0.4878,0.4372,0.5732
0.7232,0.0333,0.0087,0.0025
0.7647,0.5821,0.16,0.1466
0.8135,0.4764,0.4372,0.8189
0.8135,0.4065,0.4372,0.8189
0.8135,0.4065,0.4372,0.8189
0.8135,0.3683,0.2431,0.8189
0.8135,0.5691,0.4372,0.8189
0.8135,0.4065,0.4372,0.8189
0.8135,0.3602,0.1373,0.7485
0.8135,0.4065,0.4372,0.4094
0.8135,0.0813,0.4372,0.4094
0.8135,0.0813,0.362,0.339
0.8135,0.0813,0.4372,0.4094
0.8135,0.0813,0.6121,0.5732
0.8135,0.013,0.4468,0.5364
0.8135,0.0813,0.4372,0.5732
0.8135,0.0813,0.6121,0.5732
0.8135,0.0114,0.5369,0.5028
0.8135,0.0813,0.6121,0.5732
0.8135,0.0813,0.4372,0.5732
0.8135,0.0114,0.3874,0.8189
