March,June,September,December
0.7632,0.8712,0.1497,0.5162
0.586,0.8712,0.0,0.8604
0.5792,0.8703,0.0,0.8604
0.7632,0.8242,0.0749,0.7744
0.474,0.8276,0.0,0.8604
0.7768,0.8276,0.0,0.8527
0.7632,0.7841,0.0,0.7744
0.2629,0.6351,0.0,0.8346
0.792,0.8712,0.1233,0.8423
0.424,0.7841,0.0132,0.6453
0.8243,0.8712,0.0,0.7778
0.8446,0.8712,0.0,0.7227
0.5478,0.7841,0.0881,0.6281
0.4664,0.8712,0.0,0.8157
0.6496,0.8712,0.0,0.8217
0.424,0.7841,0.0,0.5162
0.7581,0.8712,0.0035,0.8217
0.547,0.8276,0.0,0.8303
0.3392,0.8276,0.0,0.7744
0.2595,0.8294,0.0,0.8303
0.1916,0.8712,0.0,0.7761
0.1442,0.1664,0.0,0.2917
0.8031,0.8276,0.0,0.5111
0.5902,0.5637,0.0,0.2409
