March,June,September,December
0.5782,0.8536,0.8689,0.1443
0.6939,0.8536,0.8611,0.0
0.0,0.7682,0.8689,0.0
0.2936,0.8459,0.8689,0.6314
0.6138,0.8459,0.8689,0.0902
0.0498,0.5975,0.8689,0.0
0.0,0.8536,0.8689,0.0
0.0,0.7938,0.8689,0.0875
0.0,0.4166,0.782,0.0
0.0,0.4268,0.8689,0.0
0.0,0.0512,0.8611,0.0
0.0,0.0,0.782,0.0
0.0,0.0,0.8611,0.0
0.0,0.0,0.8611,0.0
0.0,0.0026,0.6082,0.0
0.0,0.0,0.8611,0.0
0.0,0.0,0.8689,0.0
0.0,0.0,0.1738,0.0
0.0,0.8459,0.8689,0.0
0.0,0.8459,0.8689,0.0
0.0,0.8536,0.0869,0.0
0.0,0.8459,0.8559,0.0
0.0,0.8459,0.8611,0.0
0.0,0.8536,0.782,0.0
