March,June,September,December
0.8749,0.8644,0.7895,0.8881
0.8749,0.8644,0.8299,0.8881
0.8749,0.8644,0.7063,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.7494,0.8582,0.8881
0.8749,0.7494,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.5933
0.8749,0.8644,0.8582,0.6288
0.8749,0.8644,0.8582,0.7407
0.8749,0.8644,0.8582,0.8881
0.8749,0.8644,0.8582,0.8144
