March,June,September,December
0.6663,0.1744,0.8579,0.0
0.6663,0.4666,0.8579,0.0018
0.6663,0.4666,0.8579,0.0045
0.8813,0.4666,0.8579,0.0
0.8813,0.4666,0.8579,0.0
0.6663,0.6368,0.8579,0.0018
0.1824,0.6368,0.8579,0.0
0.4882,0.6368,0.4538,0.0
0.4882,0.6368,0.4538,0.0
0.1824,0.6368,0.6374,0.0
0.1824,0.6368,0.6374,0.0
0.1824,0.625,0.6288,0.0
0.1824,0.4515,0.4461,0.0
0.4882,0.7067,0.127,0.0
0.4794,0.7202,0.4418,0.0
0.4794,0.1491,0.6374,0.0
0.4882,0.1744,0.1355,0.0
0.4882,0.1575,0.4538,0.0
0.1824,0.1491,0.1398,0.0045
0.1824,0.1744,0.4538,0.0
0.1824,0.1744,0.6374,0.0
0.4882,0.1474,0.6374,0.0
0.4882,0.144,0.6374,0.0
0.4882,0.0,0.8579,0.0
