Place,March,June,September,December
NewYork,0.8859,0.8475,0.8625,0.8983
Boston,0.8866,0.8496,0.864,0.8991
WashingtonDC,0.8813,0.8423,0.8579,0.8952
Toronto,0.8896,0.8536,0.8689,0.902
Houston,0.8632,0.8269,0.8387,0.8802
Tucson,0.8749,0.8644,0.8582,0.8881
London,0.88,0.8635,0.8723,0.8909
Dublin,0.8795,0.8652,0.8744,0.8905
Nice,0.8753,0.851,0.8629,0.887
Paris,0.798,0.8614,0.8707,0.8904
Lijiang,0.845,0.785,0.7975,0.854
Mumbai,0.8646,0.8177,0.8294,0.8746
Singapore,0.8135,0.813,0.8228,0.8189
Auckland,0.8551,0.8695,0.8802,0.8671
Sydney,0.848,0.8712,0.8808,0.8604
Johannesburg,0.8192,0.8691,0.8668,0.8246
RiodeJaneiro,0.815,0.8439,0.8455,0.8249
